,R(0.01),R(0.02),R(0.03),R(0.04),R(0.05),R(0.06),R(0.07),R(0.08),R(0.09),R(0.10),R(0.11),R(0.12),R(0.13),R(0.14),R(0.15)
2025-01-02 18:00:00+00:00,2730.4196701925102,2278.3888507463125,1656.4375541510235,1230.1547280014347,1211.2941053874529,1029.1796008964302,969.6774670228478,719.1270052426698,829.2535190326889,551.0157670894841,540.3778930465196,434.85132809574134,393.19068202028575,587.1535418856802,175.01482541470614
2025-01-02 19:00:00+00:00,2703.905419211107,2437.760636682491,1898.8317024404823,1439.4378304547427,1431.700014330272,1245.117025171654,1160.5599526250298,887.5627393080795,1017.6176091378147,673.1807425030856,674.817672049001,596.078451476089,500.44379681492865,692.3438421108876,447.3788665899192
2025-01-02 20:00:00+00:00,2650.899750901037,2655.3002656055032,2280.877120187026,1866.707515297545,1785.2089208723992,1601.1705630443466,1483.989788316212,1281.8479288611634,1372.8554062423573,1065.1357447950722,1106.9426606383277,1063.8858209969985,947.2365497862484,1076.0523847652657,896.7659209615595
2025-01-02 21:00:00+00:00,2849.037077000765,3003.6558468241346,2801.3671526582693,2520.95759031723,2417.4280348159664,2233.462390772591,2077.4622036644287,1942.413525363976,1975.8513165123804,1749.1896135441639,1811.722468259206,1769.8353810208573,1668.3950616313086,1741.1073513761876,1497.559158480246
2025-01-02 22:00:00+00:00,2861.738088459817,2748.1511122037264,2361.9921867638695,2038.9697074848082,1965.9899523011482,1787.9485036328406,1671.8849821218246,1453.046345307288,1537.127226492703,1256.1383948462972,1266.1956426989054,1202.3162957776585,1110.2325053044551,1215.8175088712305,848.26750177348
2025-01-02 23:00:00+00:00,3073.540832546634,2775.0053475264285,2419.5612451060515,2073.610926671121,1998.7966658334917,1836.000361932085,1713.3785568254898,1580.9599258698217,1549.3243479861194,1374.3758132621224,1353.025338198655,1298.4451946426852,1200.4370202373902,1226.584648986318,999.2025705318665
2025-01-03 00:00:00+00:00,2909.973117606758,2727.541047246872,2443.408057564673,2052.8569903334064,1979.6860970559355,1814.303161150092,1679.6090204421853,1669.7797590008922,1538.5863385415723,1459.365150006066,1464.129998620905,1437.1461076298583,1324.5253748247487,1265.2584546010767,1374.8494969289313
2025-01-03 01:00:00+00:00,2735.2339064881817,2565.159969964545,2234.8695201174633,1897.896407966051,1819.3727559405743,1659.8557316488077,1544.359024130681,1475.5706624261366,1410.2167139437588,1284.4018829198685,1276.4321815455405,1243.3878885256781,1142.5797955726157,1095.79292391552,873.4831285659748
2025-01-03 02:00:00+00:00,2667.0116424560183,2271.892490481674,1862.491822230455,1471.7357207124878,1415.5391642819086,1269.173251065753,1179.1313148603804,1162.3039952101099,1029.0755924241967,976.9895665833319,938.32331405062,902.776757304011,813.494630033565,725.0114759228309,627.8126115247142
2025-01-03 03:00:00+00:00,2558.496963942336,2349.808097906389,2040.2181170900512,1708.0977377024974,1642.642340305043,1494.8891902284813,1387.4673688252951,1420.3713966036012,1260.4362543334792,1246.1423620965143,1236.6174263841604,1211.7591300062195,1123.9852843571134,995.9465885521786,1080.0195134243186
2025-01-03 04:00:00+00:00,2586.669194589347,2473.736672840605,2207.7332129833667,1970.6085748072073,1878.5785996264603,1734.1492645062463,1619.214292721139,1616.0571364928765,1496.0311586271273,1453.5351848503415,1449.6501112438273,1419.195862557317,1341.1376867045983,1218.4288916084624,1200.9791259866324
2025-01-03 05:00:00+00:00,2855.6262916369888,2638.6230930674865,2363.399171934783,2172.7020546737986,2123.0193681288,1973.7751604533114,1850.7894032694967,1828.6443716407666,1699.7401741724825,1669.4097116464618,1645.7152477927739,1590.34465320062,1527.470247220037,1412.5228022160081,1422.319494953117
2025-01-03 06:00:00+00:00,3034.7575790867195,2721.821214856347,2379.4687764920527,2175.009457436281,2138.7895197416656,1985.2710387513362,1865.5176627304463,1769.248803044451,1687.5369500600136,1592.2133285443342,1543.5814309139314,1476.916151588921,1404.4785694315215,1323.3448374110667,1359.82024102399
2025-01-03 07:00:00+00:00,3181.2271223842254,2677.941182450959,2224.067597824018,1946.473505103946,1918.2089213183208,1763.4133769592736,1658.433332924964,1520.0415682670864,1452.215852135283,1323.0152152285445,1245.0025474654103,1170.443215281688,1089.8724917233776,1032.4344378242677,1073.7940278725437
2025-01-03 08:00:00+00:00,3286.4300802358484,2752.1259834335942,2278.1071485258726,1958.2469909354695,1866.3584576121357,1717.7585765955591,1613.4641822423728,1464.7434057598439,1399.0359739988053,1244.9162673374667,1166.266735543919,1103.3415992146183,1007.1436641516048,951.8428003320732,1024.433405318603
2025-01-03 09:00:00+00:00,3556.137950861812,3232.547949668864,2847.1319302225456,2626.953427720393,2310.5210825044487,2184.1368922519905,2062.4113877317286,1854.4142677876662,1853.129597602645,1607.9937544663553,1561.870394655154,1518.0907730381878,1411.7470355577825,1368.3448097533546,1360.349672975106
2025-01-03 10:00:00+00:00,4502.846734861116,3812.6248091388843,3403.16099522452,3172.8648216517613,2964.4003985230665,2822.244286131521,2674.0328131631104,2532.146866124909,2378.5268805184605,2257.374121842644,2171.272563263192,2066.985374969445,1991.8204014114744,1936.3633926523762,1826.8237945744913
2025-01-03 11:00:00+00:00,5132.183382078525,4609.834598795103,4256.019472362328,4059.899628412517,3908.404773619288,3727.5558992867736,3528.1609463331843,3258.4307456844836,3196.305973267765,2929.960898438978,2836.9633312164224,2716.2552441150765,2597.8304496811324,2602.895016757291,2449.2584199926496
2025-01-03 12:00:00+00:00,5492.825218330938,4674.313397849735,4153.671688102928,3781.1744941533107,3801.225404821249,3576.5779760083533,3379.3188667625072,3080.3801764551754,3006.2027513941284,2729.086493509996,2578.889145563706,2436.0339153196983,2294.7178572669654,2327.6992106774123,2125.0714262190304
2025-01-03 13:00:00+00:00,5197.591438016476,4684.8733621383435,4207.388135808564,3805.7993840559648,3586.743394625606,3376.0209593037434,3180.9057688449248,2811.233865369082,2868.732580897966,2449.479121272321,2328.353616957873,2259.392608479662,2062.9029285253637,2095.017725587597,1910.9202045415223
2025-01-03 14:00:00+00:00,5518.072396901582,4802.127138934637,4455.590487585985,4049.806178917468,4077.8512523750396,3824.2942950026336,3582.5689544188645,3507.151677310496,3274.2897307165404,3221.272256806871,3116.230267348881,3003.533849341984,2877.8245927624885,2814.757611677276,2815.3955633572623
2025-01-03 15:00:00+00:00,4660.904536394693,4124.1558033337205,3711.352594967306,3230.5103656437714,3262.434475902366,3010.9199519742688,2803.3287307206338,2574.8247709296775,2551.0115060144017,2300.3142570331984,2195.989087500013,2126.1019576101608,1952.0327159814842,1982.4295327475847,1781.0877225018266
